11773-Wait            0.000000e+00	8000	3.81         49512.59     157154.08    396100741.86
11795-Reduce          7.629395e-06	1	19.07        19.07        19.07        19.07
12126-Send            2.524922e+05	126000	0.95         1.99         15.02        250748.63
12127-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
12131-Recv            2.524922e+05	126000	0.95         0.35         7.15         44435.98
12132-Wait            0.000000e+00	2000	240376.00    251686.43    421239.14    503372869.73
12154-Reduce          7.629395e-06	1	22.17        22.17        22.17        22.17
12451-Send            2.524922e+05	126000	0.95         1.99         19.07        251192.09
12452-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
12456-Recv            2.524922e+05	126000	0.00         0.38         7.15         47382.12
12457-Wait            0.000000e+00	2000	242597.82    253110.76    423025.85    506221517.32
12479-Reduce          7.629395e-06	1	18.84        18.84        18.84        18.84
12774-Send            2.524922e+05	126000	0.95         1.90         12.87        238869.19
12775-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
12779-Recv            2.524922e+05	126000	0.95         0.35         7.15         44190.41
12780-Wait            0.000000e+00	2000	242773.06    253115.25    423121.21    506230497.60
12802-Reduce          7.629395e-06	1	21.93        21.93        21.93        21.93
13098-Send            1.971844e+06	534000	0.95         96.29        1382.11      51421476.60
13099-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
13103-Recv            1.971844e+06	534000	0.95         0.31         22.89        164529.80
13104-Wait            0.000000e+00	8000	3.81         49068.74     183514.12    392549950.36
13126-Reduce          7.629395e-06	1	15.97        15.97        15.97        15.97
13457-Send            2.524922e+05	126000	0.95         1.96         14.07        246517.90
13458-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
13462-Recv            2.524922e+05	126000	0.95         0.37         8.11         46211.96
13463-Wait            0.000000e+00	2000	240186.93    251641.17    402455.09    503282339.10
13485-Reduce          7.629395e-06	1	32.90        32.90        32.90        32.90
13793-Send            2.524922e+05	126000	0.95         1.98         15.02        249752.28
13794-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
13798-Recv            2.524922e+05	126000	0.95         0.35         6.91         44512.27
13799-Wait            0.000000e+00	2000	243318.80    254693.42    391141.89    509386831.05
13821-Reduce          7.629395e-06	1	18.12        18.12        18.12        18.12
14116-Send            2.524922e+05	126000	0.95         2.06         16.93        260106.56
14117-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
14121-Recv            2.524922e+05	126000	0.00         0.38         7.87         48000.10
14122-Wait            0.000000e+00	2000	241896.15    252445.51    377260.92    504891028.17
14144-Reduce          7.629395e-06	1	22.17        22.17        22.17        22.17
14440-Send            1.971844e+06	534000	0.95         96.42        1443.86      51486128.57
14441-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
14445-Recv            1.971844e+06	534000	0.95         0.30         144.00       158528.33
14446-Wait            0.000000e+00	8000	3.81         49204.73     164502.86    393637833.36
14468-Reduce          7.629395e-06	1	15.97        15.97        15.97        15.97
14799-Send            2.524922e+05	126000	0.95         1.98         16.93        249816.18
14800-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
14804-Recv            2.524922e+05	126000	0.95         0.38         7.15         47974.82
14805-Wait            0.000000e+00	2000	241056.92    251541.95    401463.99    503083898.54
14827-Reduce          7.629395e-06	1	6525.99      6525.99      6525.99      6525.99
15124-Send            2.524922e+05	126000	0.95         1.88         18.84        236469.75
15125-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
15129-Recv            2.524922e+05	126000	0.95         0.35         6.20         44112.68
15130-Wait            0.000000e+00	2000	244101.05    255140.76    410809.04    510281513.93
15152-Reduce          7.629395e-06	1	25.03        25.03        25.03        25.03
15447-Send            2.524922e+05	126000	0.95         2.05         14.07        257957.70
15448-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
15452-Recv            2.524922e+05	126000	0.95         0.37         5.01         46874.05
15453-Wait            0.000000e+00	2000	242487.91    253131.94    405630.11    506263878.11
15475-Reduce          7.629395e-06	1	18.84        18.84        18.84        18.84
15771-Send            1.971844e+06	534000	0.95         96.11        1042.84      51324204.68
15772-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
15776-Recv            1.971844e+06	534000	0.00         0.30         436.07       159327.03
15777-Wait            0.000000e+00	8000	3.10         49330.96     168843.03    394647698.64
15799-Reduce          7.629395e-06	1	15.97        15.97        15.97        15.97
16130-Send            2.524922e+05	126000	0.95         1.97         15.97        248324.39
16131-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
16135-Recv            2.524922e+05	126000	0.95         0.34         7.15         42697.43
16136-Wait            0.000000e+00	2000	240907.91    251447.21    389194.97    502894411.80
16158-Reduce          7.629395e-06	1	9550.81      9550.81      9550.81      9550.81
16466-Send            2.524922e+05	126000	0.95         2.10         41.01        264783.14
16467-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
16471-Recv            2.524922e+05	126000	0.00         0.36         32.90        44739.01
16472-Wait            0.000000e+00	2000	242541.07    252396.04    391116.14    504792076.59
16494-Reduce          7.629395e-06	1	15.97        15.97        15.97        15.97
16789-Send            2.524922e+05	126000	0.95         2.06         15.02        259582.04
16790-SendRecv        0.000000e+00	0	0.00         0.00         0.00         0.00
16794-Recv            2.524922e+05	126000	0.95         0.36         6.91         45966.63
16795-Wait            0.000000e+00	2000	244823.93    254513.69    394089.94    509027374.98
16817-Reduce          7.629395e-06	1	22.89        22.89        22.89        22.89
17113-Send            1.971844e+06	534000	0.95         95.60        1279.12      51052143.57
